year,province,category,batch,admission_mode,major,min_score,min_rank,source_url,notes
2025,广东,物理类,本科批,中外合作办学,专业组201（首选物理，再选不限）,557,71348,https://www.dxsbb.com/news/148133.html,第三方分数线汇总；深圳市政府新闻亦报道深北莫普通物理类投档最低分557分；最终以考试院和学校公布为准
2025,广东,物理类,本科批,中外合作办学,专业组203（首选物理，再选化学）,565,61023,https://www.dxsbb.com/news/148133.html,第三方分数线汇总；最终以考试院和学校公布为准
2025,广东,物理类,本科批,中外合作办学,专业组202（首选物理，再选化学）,575,49167,https://www.dxsbb.com/news/148133.html,第三方分数线汇总；最终以考试院和学校公布为准
2025,广东,历史类,本科批,中外合作办学,专业组204（首选历史，再选不限）,575,12933,https://www.dxsbb.com/news/148133.html,第三方分数线汇总；深圳市政府新闻亦报道深北莫普通历史类投档最低分575分；最终以考试院和学校公布为准
2024,广东,物理类,本科批,普通类,专业组201（首选物理，再选不限）,555,64634,https://www.dxsbb.com/news/148133.html,第三方分数线汇总；最终以考试院和学校公布为准
2024,广东,物理类,本科批,普通类,专业组203（首选物理，再选化学）,563,55166,https://www.dxsbb.com/news/148133.html,第三方分数线汇总；最终以考试院和学校公布为准
2024,广东,物理类,本科批,普通类,专业组207（首选物理，再选化学）,563,54960,https://www.dxsbb.com/news/148133.html,第三方分数线汇总；最终以考试院和学校公布为准
2024,广东,历史类,本科批,普通类,专业组204（首选历史，再选不限）,555,12747,https://www.dxsbb.com/news/148133.html,第三方分数线汇总；最终以考试院和学校公布为准
